Story ID,Issue,Month,Section,Questions,Story Headline (If published),Story Description or Prompt,Story state,Pitch Date,Expressed Interest,Confirmed Writer(s),Editor,Second Editor,Story Doc,Media,Story Notes,Build Notes
NYC-SP-STR-1,SPS: June 2025,06-2025,Welcome Note,"What is the Sunset Park Sun, and how did 78 neighbors help create it?",Welcome to the Sunset Park Sun!,"The first issue's opening note introduced the bulletin as a monthly publication made by Sunset Park residents, journalists, and librarians, and credited the 78 neighbors who shaped it across ten community meetings at the library since October. It laid out what the team hoped readers would see in it: a way to follow curiosity into questions and action, to build trust between neighbors, and to take pride in the neighborhood.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-2,SPS: June 2025,06-2025,Neighborhood News,"When will the Sunset Park Recreation Center reopen, and how can you track a city construction project?",Recreation Center Construction Update,"Working group member Judith C. tracked down a definitive answer from NYC Parks that construction on the Sunset Park Recreation Center would finish in October 2025, revised from the earlier March projection. The story ran with a companion breakdown of the tools she used to get it — the NYC Capital Project Tracker, 311, Community Board 7, and the Parks Department — as a model for how residents can get answers out of the city.",Answered,,,"Judith Chiu, Terry Parris Jr.",Eliana Miller,Unassigned,,,,
NYC-SP-STR-3,SPS: June 2025,06-2025,Community Resources,"What is the Library Newsroom Field Guide, and where can it take you in Sunset Park?",Explore Sunset Park with the Library Newsroom Field Guide,"The team introduced the Library Newsroom Field Guide, a free printed booklet of prompts meant to get neighbors exploring Sunset Park and talking to the people in it. Resident Susan Parker described using it to reach Bush Terminal Park, the Army Terminal ferry, and her first Community Board 7 meeting.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-4,SPS: June 2025,06-2025,Neighborhood News,What do you need to know before voting in the June 24 primary?,There’s a Primary Election on June 24. Are You Voting?,"A guide to the June 24 citywide primary explained what a primary is, why the local offices on the ballot matter, and what voters needed to do before election day. It listed the key dates — June 14 registration deadline, early voting June 14 to 22, primary day June 24, and the November 4 general — and pointed readers to a QR-coded rundown of every office and candidate.",Answered,,,Ahdya Attea,Eliana Miller,Unassigned,,,,
NYC-SP-STR-5,SPS: June 2025,06-2025,Neighborhood News,How does ranked choice voting work in New York City elections?,What you need to know about Ranked Choice Voting,"Ahdya A. walked readers through how ranked choice voting works in the city races that use it: mayor, comptroller, public advocate, city council, and borough president. The piece covered the three rules voters most needed — you may rank up to five candidates, you are not required to rank five, and ranking the same candidate twice only counts your first choice.",Answered,,,Ahdya Attea,Eliana Miller,Unassigned,,,,
NYC-SP-STR-6,SPS: June 2025,06-2025,Community Resources,"What are Sunset Park's new residential trash rules, and when do official city bins arrive?",Got Questions About the New Trash Rules?,"Rebecca McCray summarized the residential trash rules that took effect November 12, 2024, requiring buildings with one to nine units to use secure-lidded bins of 55 gallons or smaller, set out after 6 p.m. on collection day. She listed the fine schedule, the most common violations, and the June 2026 switch to required official city bins.",Answered,,,Rebecca McCray,Eliana Miller,Unassigned,,,,
NYC-SP-STR-7,SPS: June 2025,06-2025,Community Resources,"How does composting work in Sunset Park, and where can you drop off food scraps?",…and what about composting?,"Becca Elzinga explained the composting rules that took effect April 1, requiring residents to separate food scraps, yard waste, and food-soiled paper into a DSNY brown bin or a labeled bin of their own. She laid out the alternatives to curbside pickup — orange Smart Bins, green public bins, and three local drop-off sites — and noted that curbside and Smart Bin scraps go to anaerobic codigestion rather than becoming soil.",Answered,,,Becca Elzinga,Eliana Miller,Unassigned,,,,
NYC-SP-STR-8,SPS: June 2025,06-2025,Business Spotlight,What's Behind the Menu at L'Wren?,What’s Behind the Menu… at L’Wren?,"Maureen C. and Carmen R. profiled L'wren, the 5th Avenue bar and restaurant that Travis and Jessica Klaus opened in a former furniture store in 2018. The piece traced its shift from a popcorn-only bar to a Latin-Asian fusion menu after the pandemic, and covered the happy hour, the back events room, and the couple's two-year search for the right location.",Answered,,,"Carmen Rivera, Maureen Cullen",Terry Parris Jr.,Unassigned,,,,
NYC-SP-STR-9,SPS: July 2025,07-2025,Welcome Note,What happened after the first Sunset Park Sun went out?,"While you're reading the big headlines, here are the neighborhood ones","The second issue's opening note thanked neighbors for the response to the first, noting that 300 copies were printed and the stack at the library disappeared within hours. The team framed the bulletin as a space for Sunset Park amid a noisy wider world, and invited readers to send back ideas, questions, and connections.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-10,SPS: July 2025,07-2025,Event Spotlight,Think you might be a victim of wage theft? Where can you learn your rights in Sunset Park?,Think You Might Be a Victim of Wage Theft? Come to a Free Session at the Library July 19,"The team previewed a free July 19 wage theft session at the Sunset Park Library, hosted with Documented, a nonprofit news organization covering immigrants in New York City. Labor experts and lawyers were set to walk through common examples of wage theft and how to look up an employer on Documented's Wage Theft Monitor, with sessions in Spanish at 12:30 p.m. and Chinese at 2 p.m.",Answered,,,Terry Parris Jr.,Eliana Miller,Unassigned,,,,
NYC-SP-STR-11,SPS: July 2025,07-2025,Neighborhood Spotlight,What has the Sunset Park Library meant to one neighbor across six decades?,Where the Stories Began: A Memory of Sunset Park Library,"Diana M. recounted her first visit to the Sunset Park Library in the 1960s, when it was still called South Branch and her older brother William left her there for an afternoon that turned into a lifelong love of reading. She traced the branch through its 1970 closure and 1972 rebuild to the 2023 renovation, and reflected on what stayed the same even as the buildings changed.",Answered,,,Diana Murillo,Eliana Miller,Unassigned,,,,
NYC-SP-STR-12,SPS: July 2025,07-2025,Neighborhood News,"What happened in the June 24 primary, and who's heading to the general election?",There Was a 2025 Primary Election on June 24. Here’s What Happened,"Ahdya A. and Terry Parris Jr. reported the early results of the June 24 citywide primary, led by Andrew Cuomo's concession and Zohran Mamdani's win of the Democratic nomination for mayor. The piece listed the general election field and the Democratic and Republican primary winners in races representing Sunset Park, along with early voting dates and the November 4 election day.",Answered,,,Ahdya Attea,Eliana Miller,Unassigned,,,,
